Codine,Lirmun,Pob,Sup,Dens,Extran,Porext,Mayor65,Pormayor65,CMerCA,Nivec03,Nivec04,Parreg,Cmer05,Cmer03,Telfij,Vmot,Ofban,Acind,Acomay,Acomin,Scomin,Ccom,Sccom,Acresbar,Iindus,Icomer,Iresbar,Itur,Iae,paseos,cnautic,bazul05,nviviend,porvpal,porvisec,porvivac,porhvivprop,porhvivalq,porhvivotreg,porhHdispsegviv,Poranalf,Porestprim,Porestsec,Porestuniv,Nhot05,nhcatsup,porhcatsup,Ing01,Ing02,Ing03,Ing04,Ing05,Ing06,Ing07,Ing08,Ing09,IngTot,Gas01,Gas02,Gas03,Gas04,Gas06,Gas07,Gas08,Gas09,TotGas,LIngporhab,LGasporhab,Portasas,Porinver,RivCom,RivRes
"43131","unknown",4547,16.32,278.62,523,0.115020892896415,620,0.136353639762481,0.252557388766006,9,8,3.5,11,11,3055,3181,3,187,7,118,24620,0,0,54,10,9,9,16,10,2,1,2,6417,23.7,72.3,2,87.2,6.5,6.3,1.9,17.1,24.1,50.2,8.5,0,0,0,4006000,600000,2345250,1044250,15500,2820308.35,514337.43,0,210354.22,11556000,3280833.83,3349383.3,259166.17,818850,3515000,75000,0,257766.7,11556000,7.84049238674325,7.84049238674325,20.2946521287643,30.417099342333,38.5338983050847,84.2037037037037
"43136","unknown",13181,53.23,247.62,1813,0.137546468401487,2443,0.18534253850239,0.252557388766006,5,6,2,31,30,5386,7237,13,283,49,333,23355,0,0,132,15,21,33,25,19,7,0,2,7444,56.4,29.2,14.3,80,9.9,10.1,3.1,13.6,30.8,47.6,7.9,12,1,8.33333333333333,2520112.21,1300000,2010257.86,1615722.95,258707.87,2226509.89,0,0,295497.74,10226808.52,3752728.81,2926174.37,87311.9,383949.19,2740096.03,41050.48,0,295497.74,10226808.52,6.65399143891224,6.65399143891224,19.6567468342509,26.7932661948383,39.5825825825826,99.8560606060606
"43162","unknown",5008,102.73,48.75,560,0.111821086261981,779,0.155551118210863,0.252557388766006,8,7,2.5,14,13,2584,4043,6,155,17,174,13757,0,0,76,138,9,11,21,46,2,0,3,3582,41.4,33.3,24.7,82.2,12.3,5.6,3,7.3,20.7,57.9,14.2,8,1,12.5,4406500,2900000,1054436,1722012,74100,507627,1005428,0,0,11670103,2575800,1931300,38210.01,2066400,4988863.66,21000,0,48529.33,11670103,7.75374891749355,7.75374891749355,9.03536155593485,42.7490970730935,28.7816091954023,65.8947368421053
"43163","43163 Vendrell (El)",30225,36.5,828.08,3682,0.121819685690653,3830,0.12671629445823,0.252557388766006,8,7,4.2,72,69,15714,18102,32,891,96,654,76447,1,7800,239,55,55,57,88,57,3,1,3,25669,34.8,59.1,5.9,80,14.4,5.5,2.7,12.1,22.5,55.6,9.8,16,3,18.75,15453400,2150000,9874312.32,6335588.06,564296.25,4111621.07,2330433.9,0,2727350,43547001.6,7261952.37,11510772.49,1480500,3846935.12,14158086.56,375005.06,0,4913750,43547001.6,7.27292673381139,7.27292673381139,22.6750682187037,32.5121961095021,46.2155963302752,126.464435146444
"43171","43171 Vila-seca",15875,21.78,728.88,1752,0.110362204724409,1781,0.112188976377953,0.252557388766006,7,6,2.4,41,38,7579,10978,23,380,46,412,53594,0,0,202,131,30,51,176,53,0,0,1,13467,34,58.5,6.4,86.1,11,3,2.6,18.1,28.7,47.2,6,10,6,60,6800000,1200000,3700000,3550000,700000,2100000,1950000,0,0,20000000,5485000,7500000,260000,1995000,4120000,0,0,640000,20000000,7.13874200775737,7.13874200775737,18.5,20.6,38.5315533980583,78.5891089108911
"46105","46105 Cullera",23261,53.82,432.2,2719,0.116890933321869,4068,0.174885000644856,0.0922296438425347,6,5,4.3,51,51,9195,12400,18,334,48,628,62912,1,10000,268,16,42,60,73,30,5,1,5,25787,29.6,62.6,7.4,84.1,7.5,8.5,13.2,15,31,43.9,10.1,12,1,8.33333333333333,10937000,882420,2477500,4797119.43,63000,0,200741.87,100000,1307199.35,20764980.65,11191687.16,6481544.97,430827.15,726600,1507941.22,0,0,426380.15,20764980.65,6.79424508578016,6.79424508578016,11.9311452380284,7.26194377648024,37.0398089171975,86.794776119403
"46131","46131 Gandia",71429,60.83,1174.24,12884,0.180374917750494,10091,0.141273152361086,0.0922296438425347,7,6,3.9,168,158,29618,46874,63,1150,416,2108,288761,2,23258,764,114,221,234,330,254,1,2,1,49482,44.2,43.9,11.6,88.9,6.4,4.7,13.6,11,24.7,51.5,12.9,24,5,20.8333333333333,23013000,3000000,10220300,12351500,657200,4060000,2531000,133000,14000000,69966000,17910000,24720311,1482511,3315708,20236750,1274250,133000,893470,69966000,6.88706073939951,6.88706073939951,14.6075236543464,28.9236915073035,33.884724857685,93.4934554973822
"46181","46181 Oliva",25318,59.93,422.46,4639,0.183229323011296,4323,0.170748084366854,0.0922296438425347,6,5,3.7,57,54,9933,16210,19,526,90,602,57024,0,0,213,39,45,53,80,39,0,2,3,15163,49.6,34.7,15,89,5.2,5.7,20.4,20.5,26.9,42.1,10.4,3,1,33.3333333333333,8616000,1800000,3417100,3958000,93370.91,0,109049.09,0,1686480,19680000,9028800,5237500,429000,982700,2082500,35000,0,1884500,19680000,6.65584256539161,6.65584256539161,17.3633130081301,10.5818089430894,42.0564784053156,118.863849765258
"46220","46220 Sagunto/Sagunt",61823,132.36,467.08,3886,0.0628568655678307,11099,0.179528654384291,0.0922296438425347,6,5,4.8,135,134,20004,38898,49,723,174,1431,146910,1,7979,420,275,133,145,59,184,1,0,2,32428,64.3,13.2,20.7,91.7,4.2,4.1,8.7,16,23.8,47.5,12.6,6,0,0,17547116.39,2967000,11310563.41,12481278.61,1032844.31,2268010.33,185271,72200,3000000,50864284.05,17281022.24,21816487.56,734293.44,2804878.84,6102134.88,94713.65,90230.36,1940523.08,50864284.05,6.71264080412384,6.71264080412384,22.2367494623175,11.9968952556209,43.2026554856744,147.197619047619
"46048","46048 Bellreguard",3991,2.85,1400.35,259,0.0648960160360812,689,0.172638436482085,0.0922296438425347,4,5,4.1,10,10,1746,2622,5,118,40,81,11706,0,0,31,7,9,6,0,6,1,0,1,3395,42.3,53.5,4.1,90,2.1,7.8,22.1,18.4,26.9,43.5,11.2,0,0,0,1133100,210000,488710,581020,15800,0,74309.47,0,29836.45,2532775.92,1179052.9,1041612.69,9095.88,107875,104145.92,0,0,61568.12,2503350.51,6.45302935575027,6.44134349151791,19.2954298144148,4.16026120129698,49.2716049382716,128.741935483871
"46113","unknown",2353,3.15,746.98,151,0.0641733956651084,417,0.177220569485763,0.0922296438425347,7,7,3.2,5,5,1301,1475,1,86,19,42,3693,0,0,27,5,4,5,0,4,2,0,1,4228,18.4,79,2.4,92.4,2.1,5.6,5.6,5.9,24.4,60,9.8,0,0,0,912800,500000,503764.44,300906.01,161300,72535.94,102181.9,0,0,2553488.29,872139.16,1248495.86,1689.96,135697.03,281042,0,0,14424.28,2553488.29,6.98952455046942,6.98952455046942,19.7284805249685,11.0061988966474,56.0238095238095,87.1481481481482
"46235","46235 Sueca",27253,92.52,294.56,1087,0.039885517190768,4711,0.172861703298719,0.0922296438425347,6,5,3.9,59,60,8581,16163,19,478,112,599,74768,0,0,194,40,48,53,15,41,4,1,1,22429,41.1,45.3,13.2,91.2,3.4,5.4,21.7,12.2,31.4,45,11.5,1,0,0,9188373.11,990000,2210021.4,4451400,88900,0,0,0,2002738.78,18931433.29,7755899.19,4711531.93,535864.7,1907239.4,1916738.78,100000,0,2004159.29,18931433.29,6.54341534981116,6.54341534981116,11.6738197586306,10.1246363687237,45.4974958263773,140.479381443299
